File_Name,K,True_Weight,2_approximation,Calculated,Time,Ratio
bb15x15_1.gg,3,2,2,True,00:01.2,1.0
bb15x15_1.gg,21,257,308,True,00:06.2,1.19844358
bb15x15_1.gg,41,642,901,True,00:06.8,1.403426791
bb15x15_1.gg,61,977,1318,True,00:06.9,1.349027636
bb15x15_1.gg,81,1335,1670,True,00:08.3,1.25093633
bb15x15_1.gg,101,1761,2072,True,00:07.8,1.176604202
bb15x15_1.gg,121,2235,2765,True,00:08.6,1.237136465
bb15x15_1.gg,141,2781,3144,True,00:08.1,1.130528587
bb15x15_1.gg,161,3417,3595,True,00:10.1,1.052092479
bb15x15_1.gg,181,4158,4264,True,00:10.2,1.025493025
bb15x15_1.gg,201,5040,5144,True,00:11.7,1.020634921
bb15x15_1.gg,221,6176,6207,True,00:11.7,1.00501943
bb15x15_1.gg,224,6400,6400,True,00:12.1,1.0
bb15x15_2.gg,3,6,6,True,00:02.3,1.0
bb15x15_2.gg,21,253,270,True,00:06.9,1.067193676
bb15x15_2.gg,41,585,719,True,00:07.8,1.229059829
bb15x15_2.gg,61,927,1086,True,00:07.9,1.171521036
bb15x15_2.gg,81,1290,1643,True,00:08.1,1.273643411
bb15x15_2.gg,101,1686,1935,True,00:08.6,1.147686833
bb15x15_2.gg,121,2120,2396,True,00:08.6,1.130188679
bb15x15_2.gg,141,2634,2983,True,00:10.4,1.132498102
bb15x15_2.gg,161,3248,3435,True,00:09.5,1.057573892
bb15x15_2.gg,181,3915,4042,True,00:10.7,1.032439336
bb15x15_2.gg,201,4718,4941,True,00:10.5,1.047265791
bb15x15_2.gg,221,5862,5862,True,00:11.6,1.0
bb15x15_2.gg,224,6101,6101,True,00:12.1,1.0
bb33x33_1.gg,3,3,3,True,00:33.4,1.0
bb33x33_1.gg,101,1562,2142,True,02:27.4,1.371318822
bb33x33_1.gg,201,3303,4059,True,02:43.8,1.228882834
bb33x33_1.gg,301,5112,6180,True,04:39.6,1.208920188
bb33x33_1.gg,401,7070,8427,True,04:51.4,1.191937765
bb33x33_1.gg,501,9204,10164,True,03:06.6,1.104302477
bb33x33_1.gg,601,11579,12943,True,04:53.6,1.117799465
bb33x33_1.gg,701,14299,15536,True,03:55.2,1.086509546
bb33x33_1.gg,801,17393,18849,True,05:33.9,1.083711838
bb33x33_1.gg,901,20919,21839,True,04:11.4,1.043979158
bb33x33_1.gg,1001,25199,25764,True,04:40.3,1.022421525
bb33x33_1.gg,1088,30417,30417,True,05:34.6,1.0
bb33x33_2.gg,3,3,3,True,00:36.4,1.0
bb33x33_2.gg,101,1531,1829,True,02:27.5,1.194644024
bb33x33_2.gg,201,3255,4255,True,02:41.7,1.307219662
bb33x33_2.gg,301,5185,6263,True,03:09.2,1.207907425
bb33x33_2.gg,401,7252,8331,True,02:58.5,1.148786542
bb33x33_2.gg,501,9465,10503,True,03:10.4,1.109667195
bb33x33_2.gg,601,11856,12858,True,03:39.1,1.08451417
bb33x33_2.gg,701,14509,15654,True,03:54.9,1.078916535
bb33x33_2.gg,801,17542,18500,True,03:54.9,1.054611789
bb33x33_2.gg,901,20993,21776,True,04:05.3,1.037298147
bb33x33_2.gg,1001,25273,25627,True,04:22.6,1.014007043
bb33x33_2.gg,1088,30326,30326,True,05:49.7,1.0
bb45x5_1.gg,3,2,2,True,00:01.3,1.0
bb45x5_1.gg,21,306,420,True,00:08.4,1.37254902
bb45x5_1.gg,41,695,996,True,00:07.9,1.433093525
bb45x5_1.gg,61,1115,1423,True,00:08.4,1.276233184
bb45x5_1.gg,81,1568,2010,True,00:08.7,1.281887755
bb45x5_1.gg,101,1979,2571,True,00:09.0,1.29914098
bb45x5_1.gg,121,2450,3147,True,00:10.0,1.284489796
bb45x5_1.gg,141,3028,3741,True,00:12.5,1.235468956
bb45x5_1.gg,161,3702,3989,True,00:09.9,1.077525662
bb45x5_1.gg,181,4474,4657,True,00:10.6,1.040902995
bb45x5_1.gg,201,5461,5714,True,00:10.6,1.046328511
bb45x5_1.gg,221,6718,6741,True,00:12.6,1.003423638
bb45x5_1.gg,224,6946,6946,True,00:13.3,1.0
bb45x5_2.gg,3,8,8,True,00:02.4,1.0
bb45x5_2.gg,21,302,329,True,00:06.3,1.089403974
bb45x5_2.gg,41,654,736,True,00:07.7,1.125382263
bb45x5_2.gg,61,1122,1669,True,00:16.1,1.487522282
bb45x5_2.gg,81,1617,2106,True,00:10.3,1.302411874
bb45x5_2.gg,101,2129,2902,True,00:10.3,1.363081259
bb45x5_2.gg,121,2633,3001,True,00:10.8,1.139764527
bb45x5_2.gg,141,3174,3775,True,00:09.9,1.189350977
bb45x5_2.gg,161,3757,4155,True,00:11.0,1.105935587
bb45x5_2.gg,181,4458,4871,True,00:10.9,1.092642441
bb45x5_2.gg,201,5262,5424,True,00:12.2,1.030786773
bb45x5_2.gg,221,6347,6347,True,00:11.2,1.0
bb45x5_2.gg,224,6568,6568,True,00:11.3,1.0
bb50x50_1.gg,3,2,2,True,03:12.6,1.0
bb50x50_1.gg,251,3988,4760,True,17:01.8,1.193580742
bb50x50_1.gg,501,8150,10855,True,15:48.8,1.33190184
bb50x50_1.gg,751,12551,15163,True,19:54.2,1.208110907
bb50x50_1.gg,1001,17437,20516,True,17:13.9,1.17657854
bb50x50_1.gg,1251,22823,26041,True,18:22.3,1.140998116
bb50x50_1.gg,1501,28683,32065,True,20:24.5,1.117909563
bb50x50_1.gg,1751,35534,38243,True,35:13.0,1.076236844
bb50x50_1.gg,2001,43627,45596,True,28:20.2,1.045132601
bb50x50_1.gg,2251,53426,54499,True,36:26.2,1.020083854
bb50x50_1.gg,2499,67141,67141,True,37:14.1,1.0
bb50x50_2.gg,3,3,3,True,03:31.5,1.0
bb50x50_2.gg,251,3612,4192,True,13:14.6,1.160575858
bb50x50_2.gg,501,7822,9801,True,14:35.2,1.253004347
bb50x50_2.gg,751,12440,14851,True,14:52.7,1.193810289
bb50x50_2.gg,1001,17546,20158,True,17:13.0,1.148865838
bb50x50_2.gg,1251,23448,26503,True,17:06.6,1.130288298
bb50x50_2.gg,1501,29892,32638,True,18:28.5,1.091864044
bb50x50_2.gg,1751,37197,39425,True,26:59.5,1.059897304
bb50x50_2.gg,2001,45673,47735,True,24:38.8,1.045147023
bb50x50_2.gg,2251,56037,56946,True,00:36:11.02,1.016221425129825
bb50x50_2.gg,2499,70439,70439,True,40:08.0,1.0
