File_Name,K,True_Weight,2_approximation,Calculated,Time,Ratio
g1000-4-01.g,3,6,6,True,00:00:34.94,1.0
g1000-4-01.g,101,1523,1741,True,00:02:07.18,1.1431385423506237
g1000-4-01.g,201,3308,3740,True,00:02:30.59,1.1305925030229746
g1000-4-01.g,301,5325,5762,True,00:02:18.07,1.0820657276995305
g1000-4-01.g,401,7572,8102,True,00:04:16.83,1.0699947173798203
g1000-4-01.g,501,10042,10562,True,00:02:33.32,1.0517825134435372
g1000-4-01.g,601,12705,13227,True,00:02:47.46,1.041086186540732
g1000-4-01.g,701,15675,16112,True,00:04:52.95,1.0278787878787878
g1000-4-01.g,801,19015,19475,True,00:03:12.12,1.024191427820142
g1000-4-01.g,901,22827,23098,True,00:03:35.00,1.0118719060761379
g1000-4-01.g,999,27946,27946,True,00:04:12.42,1.0
g1000-4-05.g,3,7,7,True,00:00:27.12,1.0
g1000-4-05.g,101,1648,1743,True,00:01:49.29,1.0576456310679612
g1000-4-05.g,201,3618,3954,True,00:01:45.47,1.0928689883913765
g1000-4-05.g,301,5797,6243,True,00:01:58.17,1.0769363463860617
g1000-4-05.g,401,8195,8661,True,00:02:13.00,1.0568639414277
g1000-4-05.g,501,10784,11292,True,00:04:04.39,1.047106824925816
g1000-4-05.g,601,13579,14104,True,00:02:59.78,1.0386626408424773
g1000-4-05.g,701,16674,17172,True,00:03:13.60,1.029866858582224
g1000-4-05.g,801,20074,20510,True,00:03:10.18,1.0217196373418351
g1000-4-05.g,901,24029,24230,True,00:03:57.07,1.008364892421657
g1000-4-05.g,999,29182,29182,True,00:04:10.57,1.0
g400-4-01.g,3,8,8,True,00:06.4,1.0
g400-4-01.g,41,563,595,True,00:17.3,1.056838366
g400-4-01.g,81,1304,1380,True,00:22.8,1.058282209
g400-4-01.g,121,2132,2246,True,00:28.9,1.053470919
g400-4-01.g,161,3062,3209,True,00:31.4,1.048007838
g400-4-01.g,201,4086,4220,True,00:30.9,1.032794909
g400-4-01.g,241,5224,5390,True,00:50.6,1.031776417
g400-4-01.g,281,6487,6676,True,00:34.7,1.029135193
g400-4-01.g,321,7882,8007,True,00:38.8,1.015858919
g400-4-01.g,361,9468,9548,True,00:41.7,1.008449514
g400-4-01.g,399,11433,11433,True,00:47.0,1.0
g400-4-05.g,3,4,4,True,00:03.6,1.0
g400-4-05.g,41,670,750,True,00:16.7,1.119402985
g400-4-05.g,81,1445,1547,True,00:24.0,1.070588235
g400-4-05.g,121,2291,2413,True,00:30.9,1.053251855
g400-4-05.g,161,3192,3356,True,00:26.7,1.051378446
g400-4-05.g,201,4156,4321,True,00:32.6,1.039701636
g400-4-05.g,241,5198,5334,True,00:38.2,1.026163909
g400-4-05.g,281,6350,6554,True,00:39.0,1.032125984
g400-4-05.g,321,7682,7817,True,00:41.8,1.017573549
g400-4-05.g,361,9249,9267,True,00:43.1,1.001946156
g400-4-05.g,399,11236,11236,True,00:42.5,1.0
